"","Breakpoint","Estimated_Point","estimated_point_std_error","number_schools","numer_period","outcome"
"1",999,0.391156528452729,0.00360450671783634,12120,10,"ECONOMICS_BUSINESS_RELATED"
"2",0.0426,0.499120675286756,0.131678796203916,491,10,"ECONOMICS_BUSINESS_RELATED"
"3",0.1258,0.506504635022991,0.0511453366609735,1757,10,"ECONOMICS_BUSINESS_RELATED"
"4",0.209,0.597994323178795,0.0259450452751754,3964,10,"ECONOMICS_BUSINESS_RELATED"
"5",0.2922,0.64478675003041,0.014263445971635,6480,10,"ECONOMICS_BUSINESS_RELATED"
"6",0.3754,0.60516333858492,0.00991029344343761,7588,10,"ECONOMICS_BUSINESS_RELATED"
"7",0.4586,0.603452796724409,0.00825406485306378,9006,10,"ECONOMICS_BUSINESS_RELATED"
"8",0.5418,0.580548368952815,0.00980108386301051,7842,10,"ECONOMICS_BUSINESS_RELATED"
"9",0.625,0.564364594661848,0.0131568204055575,6857,10,"ECONOMICS_BUSINESS_RELATED"
"10",0.7082,0.551457442658402,0.0192948067691595,5491,10,"ECONOMICS_BUSINESS_RELATED"
"11",0.7914,0.464314041811407,0.0356165875011786,2975,10,"ECONOMICS_BUSINESS_RELATED"
"12",0.8746,0.46351021468026,0.0643260112768801,1411,10,"ECONOMICS_BUSINESS_RELATED"
"13",0.9576,0.537856339973027,0.1127254788868,314,10,"ECONOMICS_BUSINESS_RELATED"
"14",999,-1.11143318892368,0.00357514212715862,12120,10,"ENG_ARCH_RELATED"
"15",0.05645,-1.16056253916725,0.0824664571546124,834,10,"ENG_ARCH_RELATED"
"16",0.16735,-1.3054100895915,0.0296039003266629,3232,10,"ENG_ARCH_RELATED"
"17",0.27825,-1.42873254752073,0.0128398880251715,7089,10,"ENG_ARCH_RELATED"
"18",0.38915,-1.39578773300398,0.00812208770173106,8536,10,"ENG_ARCH_RELATED"
"19",0.50005,-1.41566952189193,0.00757009392444224,9062,10,"ENG_ARCH_RELATED"
"20",0.61095,-1.413212114405,0.0102060887110998,8338,10,"ENG_ARCH_RELATED"
"21",0.72185,-1.41623153923568,0.0173465984209644,6125,10,"ENG_ARCH_RELATED"
"22",0.83275,-1.28028617669886,0.0365913110421622,2489,10,"ENG_ARCH_RELATED"
"23",0.9436,-1.26157196140645,0.0825625365957214,622,10,"ENG_ARCH_RELATED"
"24",999,-0.0691154614819294,0.00940511928637067,12120,10,"FINE_ARTS"
"25",0.05645,0.59922243067737,0.218154317613169,834,10,"FINE_ARTS"
"26",0.16735,-0.0897118908257397,0.0707358005682412,3232,10,"FINE_ARTS"
"27",0.27825,-0.0650900992957405,0.031968155150562,7089,10,"FINE_ARTS"
"28",0.38915,-0.0631632393589325,0.0190971438003079,8536,10,"FINE_ARTS"
"29",0.50005,-0.018879564216185,0.0170579233673453,9062,10,"FINE_ARTS"
"30",0.61095,0.0633375729032843,0.0223094413487966,8338,10,"FINE_ARTS"
"31",0.72185,0.0864914623270188,0.0394251917960645,6125,10,"FINE_ARTS"
"32",0.83275,0.0837420113294633,0.0844679071539772,2489,10,"FINE_ARTS"
"33",0.9436,0.0737617197906491,0.180692445457377,622,10,"FINE_ARTS"
"34",999,-0.328365589887476,0.00913798332251855,12120,10,"MATHEMATICS_NATURAL_SCIENCES"
"35",0.05645,-0.449974060686632,0.194139977571195,834,10,"MATHEMATICS_NATURAL_SCIENCES"
"36",0.16735,-0.386784894688132,0.0675645456900054,3232,10,"MATHEMATICS_NATURAL_SCIENCES"
"37",0.27825,-0.347843075142762,0.0287167593470986,7089,10,"MATHEMATICS_NATURAL_SCIENCES"
